SMILES,Solubility
[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205
O=C1Nc2cccc3cccc1c23,-3.2547670983
Clc1ccc(C=O)cc1,-2.1770779444
[Zn++].CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O.CC(c4ccccc4)c5cc(C(C)c6ccccc6)c(O)c(c5)C([O-])=O,-3.9244090954
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831
Cc1cccc(C=C)c1,-3.1231503041
CCC1CCC(CCC(O)=O)C1,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.3966521847000015
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999
CN(C)c1ccc(C=O)cc1,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685
Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.9803097957
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863
[Zn++].CCCCC(CC)CO[P]([S-])(=S)OCC(C)C.CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003
FC(F)(F)c1cccc(Cl)c1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)CCCCCOC(=O)CCS,-4.4543816995
CC(C)=C1CCC(=CC1)C,-4.2873429345
[Na+].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O,-3.4731390517
[Zn++].CC(=C)C([O-])=O,-2.3632080977000003
CCNCC(O)c1cccc(O)c1,-3.4541026398000003
[Zn++].CCC(C)O[P]([S-])(=S)OC(C)CC(C)C.CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004
ClCc1ccc(Cl)cc1Cl,-3.5129421932
CC1(C)C2CCC(=C)C1C2,-4.2923134549
CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.8091341894
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203
NO,-0.763033718
C=CC(=O)OCCOc1ccccc1,-2.5636257131
CCCC[N+](CCCC)(CCCC)Cc1ccccc1.Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003
OC(=O)CCCCCCCCC=C,-3.5528261452
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475
